"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
"Patients were randomly allocated to receive either oral doxycycline (Siam Pharmaceutical) (200 mg in the first dose, followed by 100 mg every 12 h for 7 days) or a 3-day course of azithromycin (Pfizer International) (1 g initially, followed by 500 mg once daily for 2 days).","Patients randomly allocated receive oral doxycycline (Siam Pharmaceutical) (200 dose, 100 12 7 days) 3-day azithromycin (Pfizer International) (1 initially, 500 daily 2 days).",C0030705|G0000000|G0000000|C1514756|C0442027|C0013090|C0039725|C0031336|C1442061|C0178602|C1442061|C0450371|G0000000|C0439228|C0332173|C0052796|C0331888|C1512888|G0000000|C0205265|C1442061|C0332173|G0000000|C0439228
"Under the guidance of a CBT-trained clinical psychologist (MPJ), our study interventionists, two psychology graduate students, successfully delivered and completed the therapy sessions.","Under guidance CBT-trained clinical psychologist (MPJ), study interventionists, psychology graduate students, delivered completed therapy sessions.",G0000000|C0150600|C0009244|C0205210|C0033908|G0000000|C0557651|G0000000|C0033909|C0588053|C0038492|C1705822|C0205197|C0039798|C1883016
"Enrolled children were randomised by coin toss (performed by TDT) to receive under direct observation either oral vitamin D2 as 50 000 IU (ergocalciferol; Pliva, Inc., East Hanover, New Jersey) once every 4 weeks (Ca+D group) or placebo, which was a single vitamin B complex tablet, once every 4 weeks (Ca group) for 24 weeks.","Enrolled children randomised coin toss (performed TDT) receive direct observation oral vitamin D2 50 000 IU (ergocalciferol; Pliva, Inc., East Hanover, New Jersey) 4 weeks (Ca+D group) placebo, single vitamin B complex tablet, 4 weeks (Ca group) 24 weeks.",G0000000|C0008059|G0000000|C0524669|C1416599|C0884358|C3887634|C1514756|C0439851|C0302523|C0442027|C0042890|C3538936|G0000000|C0014695|G0000000|G0000000|C1707877|G0000000|C0205314|C0454673|G0000000|C3887642|C0441833|C0032042|C0037179|C0042890|G0000000|C0439855|C0039225|G0000000|C3887642|C0441833|G0000000
"For that reason, the first round application of Bti was completed in February/March, 2011, and the second in March/April, 2011, about four weeks after the first application.","For reason, round application Bti completed February/March, 2011, March/April, 2011, weeks application.",G0000000|C0392360|C0332490|C0185125|G0000000|C0205197|C3830166|G0000000|C3829202|G0000000|C0439230|C0185125
"The patients were allocated randomly to one of three groups receiving saline (group C), ketamine 0.25 mg/kg (group K0.25) or ketamine 0.5 mg/kg (group K0.5).","The patients allocated randomly receiving saline (group C), ketamine 0.25 mg/kg (group K0.25) ketamine 0.5 mg/kg (group K0.5).",G0000000|C0030705|G0000000|G0000000|C1514756|C0036082|C0441833|G0000000|C0022614|C0450371|C0439272|C0441833|C0450371|C0022614|G0000000|C0439272|C0441833|G0000000
"No exercises included irregular words, sentences, or paragraphs of text (Note: McArthur et al.","No exercises included irregular words, sentences, paragraphs text (Note: McArthur al.",G0000000|C0015259|C0332257|C0205271|C1705313|C0876929|C0871028|C1527021|C1316572|G0000000|C0202311
The participants allocated to the intervention group receive telephone follow-up 30 days after dialysis shift in addition to conventional treatment.,The participants allocated intervention receive telephone follow-up 30 days dialysis shift addition conventional treatment.,G0000000|C0679646|G0000000|C0886296|C1514756|C0039457|C0589120|C0450371|C0439228|C0011945|C0333051|C0332287|C0439858|C0039798
Successful entry into the canal was evidenced by gush of an aqueous liquid and/or blood.,Successful entry canal evidenced gush aqueous liquid and/or blood.,C0597535|C1705654|C0086881|C3887511|G0000000|C0599956|C0301571|G0000000|C0005767
"In Stage 2, 80 additional patients were randomized 1:1 to 2 groups (the preferred dose, and placebo, 40 per group).","In Stage 2, 80 additional patients randomized 1:1 2 (the preferred dose, placebo, 40 group).",G0000000|C0205390|G0000000|C0450371|C1524062|C0030705|C0034656|G0000000|G0000000|G0000000|C0558295|C0178602|C0032042|C0450371|C0441833
The SAAF–T program consisted of 5 consecutive meetings held at community facilities; it included separate caregiver and adolescent skill-building curricula and a family curriculum.,The SAAF–T program consisted 5 consecutive meetings held community facilities; included separate caregiver adolescent skill-building curricula family curriculum.,G0000000|G0000000|C1709697|C0332529|G0000000|C1707491|C0556656|C0675390|C0009462|C1547538|C0332257|C0443299|C0085537|C0205653|C0678856|C0010478|C0015576|C0010478
The YES Study exercise intervention consisted of a supervised training program at a local health club.,The YES Study exercise intervention consisted supervised training program local health club.,G0000000|C1549445|C0557651|C0015259|C0886296|C0332529|G0000000|C0040607|C1709697|C0205276|C0018684|C0221096
Women in the UC arm received usual (nutrition) care through the MH.,Women UC arm received usual (nutrition) care MH.,C0043210|G0000000|C0446516|C1514756|C3538928|C0028707|C1947933|C0026514
"The FCU is an assessment and feedback intervention, based on motivational interviewing principles (Miller & Rollnick, 2002), and designed to enhance parental recognition of child risk behaviors and engender motivation for reducing these problem behaviors and associated risk factors.","The FCU assessment feedback intervention, based motivational interviewing principles (Miller & Rollnick, 2002), designed enhance parental recognition child risk behaviors engender motivation reducing behaviors risk factors.",G0000000|G0000000|C1261322|C0015744|C0886296|C1527178|C0026605|C0021822|G0000000|C0402830|G0000000|G0000000|G0000000|C1707689|C2349975|C0030551|C0524637|C0008059|C0035647|C0004927|G0000000|C0026605|C0392756|C0004927|C0035647|C1521761
"Treatment comprised citalopram 20 mg during the first three weeks and 40 mg during the second three weeks, or matching placebo intake.","Treatment comprised citalopram 20 mg weeks 40 mg weeks, matching placebo intake.",C0039798|C2700400|C0008845|G0000000|C0439230|G0000000|C0439230|C0150103|C0032042|C1512806
Participants randomized to the self care group will receive a book about self-management of back pain (The Back Pain Helpbook[24]).,Participants randomized care receive book self-management pain (The Back Pain Helpbook[24]).,C0679646|C0034656|C1947933|C1514756|C0006002|C0086969|C0030193|G0000000|C0004600|C0030193|C0450371
"The Meat group was encouraged to aim for the consumption of one jar of pureed meat and gravy (71 g total, equivalent to 8 g protein) per day by 7 mo of age and 1–2 jars/d by 9 mo of age.","The Meat encouraged aim consumption jar pureed meat gravy (71 total, equivalent 8 protein) day 7 mo age 1–2 jars/d 9 mo age.",G0000000|C0025017|G0000000|C1947946|C0009830|C0181427|G0000000|C0025017|C0205082|C0450371|C0439175|C0205163|G0000000|C0033684|C0332173|G0000000|C0026544|C0001779|G0000000|C0181427|G0000000|C0026544|C0001779
"Chloroquine (Government Pharmaceutical Organization, Thailand) was given once a day for 3 days, with a target dose of 25 mg base/kg with a glass of water.","Chloroquine (Government Pharmaceutical Organization, Thailand) day 3 days, target dose 25 base/kg glass water.",C0008269|C0018104|C0031336|C0029237|C0039725|C0332173|G0000000|C0439228|C1521840|C0178602|C0450371|C0002055|C0017596|C0043047
Participants in the control group can choose to cross over to the exercise intervention arm after the eight week control period.,Participants control choose cross exercise intervention arm week control period.,C0679646|C0243148|C1707391|C2828360|C0015259|C0886296|C0446516|C0332174|C0243148|C0439531
"The integrated approach taken by WASEP, which incorporates engineering solutions with appropriate education to maximize facility usage and improve hygiene practices, is a useful example of how desired health benefits can be obtained from projects of this type.","The integrated approach WASEP, incorporates engineering solutions education maximize facility usage improve hygiene practices, desired health benefits projects type.",G0000000|G0000000|C0449445|G0000000|G0000000|C0014279|C0037633|C0013621|G0000000|C1547538|C0457083|G0000000|C0020405|C0237607|C0871633|C0018684|C0814225|C1709701|C0332307
"The control group listened to a 10-minute audio recording of a natural history text which had previously been used by another study as an active control condition comparison with a body scan.28,29 It is difficult to find an active control comparable to the mindfulness-based body scan.","The control listened 10-minute audio recording natural history text study active control condition comparison body scan.28,29 It difficult active control comparable mindfulness-based body scan.",G0000000|C0243148|C0004309|C0450371|C3273156|G0000000|C0205296|C0019664|C1527021|C0557651|C0205177|C0243148|C0012634|C1707455|C0242821|C0034606|G0000000|C0332218|C0205177|C0243148|G0000000|C0086045|C0242821|C0034606
"The study intervention consisted of an advanced life-support program whereby 400 paramedics were trained to perform endotracheal intubation, insert intravenous lines and administer medications and fluids intravenously.","The study intervention consisted advanced life-support program 400 paramedics trained perform endotracheal intubation, insert intravenous lines administer medications fluids intravenously.",G0000000|C0557651|C0886296|C0332529|C0205179|C0521300|C1709697|C1442061|C0030450|C0336809|C0884358|C0599554|C0021925|C0441587|C0348016|C0205132|C1621583|C0013227|C0302908|G0000000
"Sclerotherapy was performed on outpatient basis using either 5–10 ml of 5% phenol or 2–4 ml of 1% polidocanol, while patients in group 3 underwent surgical repair of hydrocele (Jaboulay’s procedure).","Sclerotherapy performed outpatient basis 5–10 5% phenol 2–4 1% polidocanol, patients 3 underwent surgical repair hydrocele (Jaboulay’s procedure).",C0036435|C0884358|C0029921|C1527178|G0000000|G0000000|C0031428|G0000000|G0000000|C0071330|C0030705|G0000000|G0000000|C0543467|C0043240|C1720771|G0000000|C0184661
"Participants in the intervention group were advised to consume three meals of fish per week, and advice was also given on the types of fish to consume to avoid pollutants.","Participants intervention advised consume meals fish week, advice types fish consume avoid pollutants.",C0679646|C0886296|G0000000|G0000000|C1998602|C0016163|C0332174|C0150600|C0332307|C0016163|G0000000|G0000000|C0599786
"As for ease of doffing, a cursory view of the results suggests that the tabs on the FFR straps did not make doffing easier as most subjects indicated that there was no noticeable difference between the FFRs with tabs and the FFRs without tabs (Table 1).","As ease doffing, cursory view suggests tabs FFR straps doffing easier subjects noticeable difference FFRs tabs FFRs tabs (Table 1).",G0000000|C1331418|G0000000|G0000000|C0449911|C1705535|C0039225|C1412871|C0183631|G0000000|C0332219|C0681850|G0000000|C1705241|C1412871|C0039225|C1412871|C0039225|C0039224|G0000000
The fourth educational session provided general advice encouraging family members to address their personal and social needs to improve their well-being and to resume their formal social interests.,The fourth educational session provided advice encouraging family address personal social improve well-being resume formal social interests.,G0000000|C0205438|C0587721|C1883016|C1999230|C0150600|G0000000|C0015576|C0376649|C1519021|C0728831|G0000000|C0018684|C1550028|C0348078|C0728831|C0543488
More extended counselling may be required to translate behaviour change into measurable reductions in risk.,More extended counselling required translate behaviour change measurable reductions risk.,C0205172|C0231448|C0010210|C1514873|C0040710|C0004927|C0392747|C1513040|C0301630|C0035647
"In each of these pairs of orders, the second follows from the first as a proposition to its corollary.","In pairs orders, proposition corollary.",G0000000|C1709450|C3244315|G0000000|G0000000
Sessions were conducted during regularly scheduled appointments in a treatment room or the patient’s room within the clinical setting.,Sessions conducted regularly scheduled appointments treatment patient’s clinical setting.,C1883016|C0004927|G0000000|C0086960|C0003629|C0039798|G0000000|C0205210|C0542559
"Ration cards are also used as an identity card to avail many of the other government schemes, since it classifies households based upon their poverty status.","Ration cards identity card avail government schemes, classifies households based poverty status.",G0000000|C3275277|C0424215|C3275277|G0000000|C0018104|C1519193|C0008902|C0020052|C1527178|C0032854|C0449438
"We taught phonics using nine exercises (see below) across 220 levels that increased in difficulty to train the explicit phonological decoding and encoding of consonants, short vowels, long vowels, blends, digraphs, the bossy e rule, plurals, soft ‘c’ and ‘g,’ dipthongs, ‘r’ sounds, and Silent Letters.","We taught phonics exercises (see below) 220 levels increased difficulty train explicit phonological decoding encoding consonants, short vowels, vowels, blends, digraphs, bossy rule, plurals, soft ‘c’ ‘g,’ dipthongs, ‘r’ sounds, Silent Letters.",G0000000|C0348054|C0871074|C0015259|C0042789|G0000000|C1442061|C0441889|C0205217|C1299586|C0336809|G0000000|C0597725|C0870395|C1547699|G0000000|C1282927|C0871955|C0871955|C0678946|G0000000|C0265514|C0805874|C0439064|C0205358|G0000000|G0000000|G0000000|G0000000|C0037709|C0443304|C0282413
