"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
Doctors (N = 35) from 11 greater area Pittsburgh urology and radiology clinics and hospitals referred patients who had been treated for localized prostate cancer in the prior month.,Doctors (N = 35) 11 Pittsburgh urology radiology clinics hospitals referred patients treated localized prostate cancer prior month.,C0031831|C0369718|G0000000|C0450371|C0450371|G0000000|C0042077|C0034599|C0442592|C0019994|C0205543|C0030705|C1522326|C0392752|C0033572|C0006826|C0332152|C0332177
"on day 1, respectively, and it was 175 mg m−2 on day 1 for paclitaxel.","day 1, respectively, 175 mg m−2 day 1 paclitaxel.",C0332173|G0000000|G0000000|G0000000|C0332173|G0000000|C0144576
Plots were made of melatonin concentrations before and after treatment.,Plots melatonin concentrations treatment.,G0000000|C0025219|C0086045|C0039798
"Baseline QOL (FACT-G, SF-36), BDI, WEL and TFEQ scores did not differ between the LI and UC groups.","Baseline QOL (FACT-G, SF-36), BDI, WEL TFEQ scores LI UC groups.",C0168634|C0518214|C1707998|C0037712|C0006448|G0000000|G0000000|C0449820|C0023617|G0000000|C0441833
"Parental monitoring refers to parenting behaviors that involve information seeking about the youth's daily activities, as well as direct supervision and oversight of those activities.11","Parental monitoring refers parenting behaviors involve seeking youth's daily activities, direct supervision oversight activities.11",C0030551|C0150369|C0205543|C0085092|C0004927|G0000000|G0000000|C0001578|C0332173|C0441655|C0439851|C0038842|C1273870|C0441655
"Women who underwent LEEP between 1996 and 2006, and controls who underwent screening cervical cytology or cervical punch biopsy performed the same calendar year were identified from several tertiary and community hospitals electronic pathology databases using the following key words: “Pap (papanicolaou) smear”, “cervical cytology”, “cervical biopsy” and “LEEP”.","Women underwent LEEP 1996 2006, controls underwent screening cervical cytology cervical punch biopsy performed calendar identified tertiary community hospitals electronic pathology databases key words: “Pap (papanicolaou) smear”, “cervical cytology”, “cervical biopsy” “LEEP”.",C0043210|G0000000|C0184930|G0000000|G0000000|C0243148|G0000000|C0220908|C0027530|C0010818|C0027530|C0182555|C0005558|C0884358|C1516147|C0205396|C0205372|C0009462|C0019994|C0013850|C0030664|C0242356|G0000000|C1705313|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000
"Sample items were as follows: “Parents usually know if their teen skips insulin doses whether they supervise them or not,” “Many children struggle to complete their diabetes care when they become teenagers,” and “The best way to find out if a teen counted their carbohydrates before eating is to just ask them if they did it.” Correct responses were summed to generate a total score.","Sample items follows: “Parents teen skips insulin doses supervise not,” “Many children struggle complete diabetes care teenagers,” “The teen counted carbohydrates eating it.” Correct responses summed generate total score.",C0370003|C1551338|C0332283|G0000000|C0205653|C0560435|C0021641|C0178602|G0000000|G0000000|G0000000|C0008059|G0000000|C0205197|C0011847|C1947933|G0000000|G0000000|C0205653|C0750480|C0007004|C0013470|G0000000|C2349182|C0871261|C1515051|G0000000|C0439175|C0449820
"First, the number of patients with known EGFR mutation status (79/296, 26.7%) is insufficient for subgroup analyses according to EGFR mutation.","First, patients EGFR mutation status (79/296, 26.7%) insufficient subgroup analyses EGFR mutation.",C0205435|C0030705|C1739039|C0026882|C0449438|C0450371|C0450371|C0205412|C1079230|C0002778|C1739039|C0026882
"In the sample, these women were classified as “unaffected,” unless they also had a history of BC.","In sample, women classified “unaffected,” history BC.",G0000000|C0370003|C0043210|C0008902|G0000000|C0019664|C0006041
"The additional 7th-grade lessons focus primarily on smoking cessation and alcohol use, while new home-learning opportunities seek to involve parents in substance use prevention.","The additional 7th-grade lessons focus smoking cessation alcohol use, home-learning opportunities seek involve parents substance prevention.",G0000000|C1524062|C0441800|G0000000|C0205234|C0037369|C1880019|C0001962|C0042153|C0442519|G0000000|G0000000|G0000000|C0030551|C0439861|C0199176
Baseline characteristics were recorded at the study enrollment.,Baseline characteristics recorded study enrollment.,C0168634|C1521970|C0034869|C0557651|C1516879
We calculated the duration of the interval (in days) for each blood draw.,We calculated duration interval (in days) blood draw.,G0000000|C0444686|C0449238|C1272706|G0000000|C0439228|C0005767|C0013113
The intervention started as early as possible after breast cancer diagnosis and was offered at the patients’ treating hospital.,The intervention started breast cancer diagnosis offered patients’ treating hospital.,G0000000|C0886296|C1272689|C0006141|C0006826|C0011900|C1444648|G0000000|C1522326|C0019994
"Although a short course of corticosteroids may be relatively safe, further study is warranted.","Although short corticosteroids safe, study warranted.",G0000000|C1282927|C0001617|G0000000|C0557651|G0000000
"Empirical research supports that mindfulness enhances the capacity to identify and regulate emotions (for review, see Chambers, Gullone, & Allen, 2009).","Empirical supports mindfulness enhances capacity identify regulate emotions (for review, Chambers, Gullone, & Allen, 2009).",C1880496|C0183683|C0086045|C2349975|C1516240|G0000000|G0000000|C0013987|G0000000|C0282443|C0179874|G0000000|G0000000|G0000000|G0000000
Next the right gastric vessels are transected.,Next gastric vessels transected.,C0205117|C0038351|C0005847|C0332847
"These results and successful outcomes are consistent with recent small studies indicating that early initiation of ART may reduce mortality from MDR TB.27 28 The median CD4 T cell count of 239 cells/m3 in our cohort at the time of MDR TB diagnosis was higher than that reported in a cohort from South Africa,26 but was comparable to CD4 T cell counts reported in another cohort from Lesotho, where the treatment success rate in HIV-coinfected patients was reported as 66%11 compared with our 69.9%.","These successful outcomes consistent studies indicating initiation ART reduce mortality MDR TB.27 28 The median CD4 T cell count 239 cells/m3 cohort time MDR TB diagnosis reported cohort South Africa,26 comparable CD4 T cell counts reported cohort Lesotho, treatment success rate HIV-coinfected patients reported 66%11 compared 69.9%.",G0000000|C0597535|C1274040|C0332290|C0947630|G0000000|C0589507|C0003826|G0000000|C0026565|G0000000|C0450371|C0450371|G0000000|C0549183|C0285590|C2603360|C0007634|C0750480|G0000000|C0599755|C0040223|G0000000|G0000000|C0011900|C0684224|C0599755|C1710133|C0001737|G0000000|C0285590|C2603360|C0007634|C0439157|C0684224|C0599755|C0023376|C0039798|C0597535|C0871208|C0019682|C0030705|C0684224|C0450371|C1707455|C0450371
"General infections (urinary tract infection, respiratory tract infection), flap anastomosis complications (venous or arterial), and wound complications (dehiscence, tissue necrosis, haematoma, chyle leak, salivary fistula or wound infection) were recorded.","General infections (urinary tract infection, respiratory tract infection), flap anastomosis complications (venous arterial), wound complications (dehiscence, tissue necrosis, haematoma, chyle leak, salivary fistula wound infection) recorded.",C0205246|C3714514|C0042027|C1185740|C0009450|C0521346|C1185740|C0009450|C0038925|C0332853|C0009566|C0042449|C0003842|C0043250|C0009566|C0149663|C0040300|C0027540|C0018944|C0008730|C0332234|C0442040|C0016169|C0043250|C0009450|C0034869
"Furthermore, the results of sensitivity analyses that incorporated partial information from patients with missing data were consistent with the main findings.","Furthermore, sensitivity analyses incorporated partial patients missing data consistent main findings.",G0000000|C0020517|C0002778|G0000000|C0728938|C0030705|C1551393|C1511726|C0332290|C0205225|C2607943
"In the control group, the end of the study was reached when the patient required the next paracentesis or died, whichever occurred first.","In control group, study reached patient required paracentesis died, whichever occurred first.",G0000000|C0243148|C0441833|C0557651|C2584321|C0030705|C1514873|C0034115|C0011065|G0000000|C1709305|C0205435
"One of the following diagnoses: metastatic or unresectable recurrent breast cancer, stage IIIC or IV recurrent platinum-resistant ovarian cancer, metastatic or unresectable recurrent cervix cancer, metastatic or unresectable recurrent endometrial cancer, metastatic or unresectable recurrent head and neck cancer (after previous radiotherapy), hormone-refractory metastatic or unresectable recurrent prostate cancer, metastatic or unresectable recurrent genitourinary cancer, metastatic or unresectable recurrent non-small cell lung cancer, extensive-stage or recurrent small cell lung cancer, or metastatic or unresectable recurrent gastrointestinal cancer.","One diagnoses: metastatic unresectable recurrent breast cancer, stage IIIC IV recurrent platinum-resistant ovarian cancer, metastatic unresectable recurrent cervix cancer, metastatic unresectable recurrent endometrial cancer, metastatic unresectable recurrent head neck cancer (after previous radiotherapy), hormone-refractory metastatic unresectable recurrent prostate cancer, metastatic unresectable recurrent genitourinary cancer, metastatic unresectable recurrent non-small cell lung cancer, extensive-stage recurrent cell lung cancer, metastatic unresectable recurrent gastrointestinal cancer.",C0205447|C0011900|C0036525|C1519810|C2945760|C0006141|C0006826|C0205390|G0000000|C0022326|C2945760|C0032207|C0205065|C0006826|C0036525|C1519810|C2945760|C0007874|C0006826|C0036525|C1519810|C2945760|C0227843|C0006826|C0036525|C1519810|C2945760|C0018670|C0027530|C0006826|G0000000|C0205156|C0034619|C0019932|C0036525|C1519810|C2945760|C0033572|C0006826|C0036525|C1519810|C2945760|C0042066|C0006826|C0036525|C1519810|C2945760|C1518422|C0007634|C0024109|C0006826|C1517031|C2945760|C0007634|C0024109|C0006826|C0036525|C1519810|C2945760|C0521362|C0006826
The study intervention directly targets FC of patients with lung cancer and aims to increase the support provided to them.,The study intervention directly targets FC patients lung cancer aims increase support provided them.,G0000000|C0557651|C0886296|C1947931|C1521840|C2983605|C0030705|C0024109|C0006826|C1947946|C0442805|C0183683|C1999230|G0000000
Twenty-nine percent of patients in the cooked group and 35% of patients in the raw group developed a major infection (P = .60).,Twenty-nine percent patients cooked 35% patients raw developed major infection (P = .60).,C0450351|C0439165|C0030705|C0335326|C0450371|C0030705|C0001884|G0000000|C0205082|C0009450|C0369773|G0000000|C0450371
"During year one of the study when children were randomly assigned to wear either PALs or SVLs, there was no association between nasal, temporal, or inferior retinal RPD and the 1-year change in central spherical equivalent refractive error (all P ≥ 0.58; Table 4); however, superior retinal RPD was significantly associated with the 1-year change in central refractive error (P = 0.001).","During study children randomly assigned wear PALs SVLs, association nasal, temporal, inferior retinal RPD 1-year change central spherical equivalent refractive error (all P ≥ 0.58; Table 4); however, superior retinal RPD 1-year change central refractive error (P = 0.001).",G0000000|C0557651|C0008059|G0000000|C1516050|G0000000|C0030360|G0000000|C0004083|C0028429|C0442043|C0542339|C0035298|G0000000|C0439234|C0392747|C0205099|C0332501|C0205163|C0429585|C0743559|G0000000|C0369773|G0000000|C0450371|C0039224|G0000000|G0000000|C1282910|C0035298|G0000000|C0439234|C0392747|C0205099|C0429585|C0743559|C0369773|G0000000|C1442061
"Therefore, the current intervention aims to investigate the effects of a self-prescribed moderate intensity walking on cognitive functioning and emotional well-being of adjuvant and neo-adjuvant breast cancer patients.","Therefore, current intervention aims investigate effects self-prescribed moderate intensity walking cognitive functioning emotional well-being adjuvant neo-adjuvant breast cancer patients.",G0000000|C0521116|C0886296|C1947946|C1292732|C1280500|C0036588|C0205081|C0522510|C0080331|C1516691|C0205245|C0013987|C0018684|C0001551|C1366752|C0006141|C0006826|C0030705
